Fecha,Aceites lubricantes,Asfalto ,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado de petróleo,Gasolina de aviación,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,Petcoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,MTBE,Orimulsión,Petróleo reconstituido,Total importación
2019-10-01,19109.119999999995,10751.21,95514.49,107.93,43064.61,1160570.85,35005.92,225207.04333333333,0.0,712672.38,691407.73,115.83000000000001,0.0,2499.43,0.0,525400.0,0.0,7671.02,1.09,0.0,0,0.0,0,3529098.6533333333
2019-11-01,16108.606,6971.4800000000005,84414.64,427.5,56475.66,1122990.69,0.0,610868.1190476189,2070.48,791039.02,658706.42,320.43999999999994,0.0,2579.15,0.0,0.0,0.0,13551.900000000001,149.09,0.0,0,0.0,0,3366673.195047619
2019-12-01,27097.054399999994,5682.6,164276.76,434.83,39148.46,1098972.3900000001,0.0,600003.8504761904,0.0,731012.24,797580.75,313.8,39972.88,2899.75,0.0,245057.0,0.0,7373.88,13.01,0.0,0,0.0,0,3759839.2548761903
2020-01-01,19015.04,4205.43,8484.76,596.33,64745.4,999181.2,34013.75,715600.32,0.0,629414.9,573220.63,721.04,0.0,1647.63,0.0,0.0,0.0,9005.37,148.95,0.0,0,0.0,0,3060000.75
2020-02-01,21047.21,5960.0,158888.73,237.16,71115.46,1237018.37,12300.92,451331.7,23690.3,741509.07,611314.13,177.68,0.0,2607.12,0.0,849463.41,0.0,8881.49,0.0,0.0,0,0.0,0,4195542.75
2020-03-01,22930.96,3351.04,262105.89,920.12,116115.4,1367335.14,1991.32,643278.89,0.0,735491.29,809640.18,590.64,0.0,1267.79,0.0,249651.49,0.0,10977.78,0.0,0.0,0,0.0,0,4225647.93
2020-04-01,21591.95,2443.86,195126.19,756.32,0.0,834366.52,0.0,510349.93,288.62,329134.18,453153.09,363.63,0.0,0.0,0.0,0.0,0.0,6952.78,144.57,0.0,0,0.0,0,2354671.6399999997
2020-05-01,16064.15,5300.0,77729.35,396.85,0.0,691066.44,2997.1,616381.45,0.0,415805.82,170292.5,507.39,0.0,0.0,0.0,231418.0,0.0,6147.08,72.29,0.0,0,0.0,0,2234178.42
2020-06-01,15086.16,5451.0,126935.72,280.4,18372.88,1066148.05,48945.91,467664.76,0.0,683322.72,415672.19,364.94,0.0,0.0,259.99,241228.0,0.0,9716.36,0.0,0.0,0,0.0,0,3099449.08
2020-07-01,24023.78,4142.86,95456.23,0.0,29742.42,779930.57,0.0,675337.54,0.0,451717.75,347541.59,311.23,0.0,0.0,247.67,602780.29,0.0,7703.4,72.29,0.0,0,0.0,0,3019007.6199999996
2020-08-01,18020.13,3118.87,60562.44,524.4,46730.75,791258.19,7998.76,634320.07,0.0,547899.55,414416.34,393.75,0.0,0.0,1.14,0.0,0.0,4201.86,72.29,0.0,0,0.0,0,2529518.54
2020-09-01,18803.77,579.76,28529.93,0.0,0.0,1021360.83,0.0,315527.09,2261.75,591799.83,563742.5,329.23,0.0,356.4,0.0,351581.75,0.0,19486.3,72.29,0.0,0,0.0,0,2914431.43
2020-10-01,25940.04,4594.86,170477.0,519.98,22389.55,891340.69,0.0,960840.53,0.0,861840.54,733692.01,369.36,0.0,0.0,0.38,0.0,0.0,6118.08,72.86,0.0,0,0.0,0,3678195.8800000004
2020-11-01,24172.72,2720.06,160324.99,339.0,26211.17,1152909.51,44596.07,328603.13,708.35,696600.14,570262.17,388.25,0.0,933.81,60.0,357873.68,0.0,24501.43,0.0,0.0,0,0.0,0,3391204.48
2020-12-01,24292.17,4862.74,105609.42,287.36,36051.0,1050560.83,0.0,684160.08,176.69,780347.28,777450.55,668.76,0.0,1116.47,7.67,281577.99,0.0,10024.51,144.57,0.0,0,0.0,0,3757338.09
2021-01-01,32297.51,2857.14,74116.04,158.88,34039.29,1185644.96,1499.38,475619.49,0.0,626537.48,642652.37,559.25,0.0,285.71,0.0,360218.54,0.0,13170.43,0.0,0.0,0,0.0,0,3449656.4699999997
2021-02-01,25775.47,2944.55,90475.23,597.3,36199.22,1076824.67,1203.34,617783.16,0.0,715261.34,726508.78,469.36,0.0,1941.72,2.85,0.0,0.0,14072.44,0.0,0.0,0,0.0,0,3310059.4299999997
2021-03-01,39423.46,2766.58,219041.83,329.9,44504.81,1345110.18,13415.05,549815.26,22193.67,772750.01,850334.64,512.05,0.0,1543.65,48.0,232451.5,0.0,3701.67,0.0,0.0,0,0.0,0,4097942.2599999993
2021-04-01,34386.1,2373.03,134271.99,331.4,60378.83,1250171.58,39568.59,664443.94,0.0,634408.89,1227173.53,944.87,0.0,1008.98,0.0,0.0,191.0,18400.35,0.0,0.0,0,0.0,0,4068053.08
2021-05-01,46934.14,4002.38,70289.08,907.08,34196.0,1279017.24,0.0,678501.06,0.0,669085.78,649783.14,278.79,0.0,1689.58,3.4,554574.24,0.0,22306.42,0.0,0.0,0,0.0,0,4011568.33
2021-06-01,29240.6,2746.31,222211.83,418.0,72527.45,1440106.47,1489.69,466658.55,0.0,833544.64,623695.2,407.59,0.0,1762.73,1.56,0.0,937.08,4781.62,0.0,0.0,0,0.0,0,3700529.3199999994
2021-07-01,35080.77,3825.7,37527.59,474.4,53322.76,1110409.53,23256.67,665263.1,0.0,833732.31,689717.29,204.15,0.0,1315.27,0.0,274703.81,1801.91,14357.33,0.0,0.0,0,0.0,0,3744992.59
2021-08-01,28578.2,2714.29,105776.21,59.0,47443.21,1175960.64,1888.95,746002.48,3390.96,664522.74,685977.45,236.64,0.0,1237.75,0.0,585160.46,0.0,7124.19,0.0,0.0,0,0.0,0,4056073.1699999995
2021-09-01,25507.27,2285.9,107267.84,243.6,38914.43,896539.24,0.0,689829.47,0.0,844430.03,646233.31,342.49,0.0,1669.7,28.0,215709.34,0.0,1993.73,0.0,0.0,0,0.0,0,3470994.3500000006
2021-10-01,21800.64,5087.46,160474.2,764.35,93077.24,1542473.57,41348.99,696346.9,0.0,522701.11,589405.56,229.98,0.0,2395.35,1.51,259087.0,0.0,5945.58,0.0,0.0,0,0.0,0,3941139.44
